Ensembl_ID	Preferred_name	Ensembl_HGNC	Ensembl_gene	Ensembl_UniProt_AC
9606.ENSP00000362294	PTPRT	{'PTPRT'}	{'ENSG00000196090'}	{'Q9H0Y8', 'O75664', 'O43655', 'Q5W0Y1', 'Q9BR28', 'Q9UBD2', 'Q9UJL7', 'O14522', 'A8E4R6', 'Q9BR24', 'Q9NTL1', 'Q5W0X9', 'Q9NU72'}
9606.ENSP00000362296	POU3F4	{'POU3F4'}	{'ENSG00000196767'}	{'Q99410', 'P49335', 'B2RC71', 'Q5H9G9'}
9606.ENSP00000362298	SGPL1	{'SGPL1'}	{'ENSG00000166224'}	{'Q9ULG8', 'O95470', 'Q7Z732', 'Q9UN89', 'B2RBD4'}
9606.ENSP00000362299	ENG	{'ENG'}	{'ENSG00000106991'}	{'Q14926', 'Q5T9C0', 'P17813', 'Q14248'}
9606.ENSP00000362300	AGO1	{'AGO1'}	{'ENSG00000092847'}	{'Q5TA57', 'Q9UL18', 'Q6P4S0'}
9606.ENSP00000362304	ADAMTS14	{'ADAMTS14'}	{'ENSG00000138316'}	{'Q8TEY8', 'Q5T4G1', 'Q8TE55', 'Q5T4G0', 'Q8WXS8'}
9606.ENSP00000362306	AGO4	{'AGO4'}	{'ENSG00000134698'}	{'A7MD27', 'Q9HCK5'}
9606.ENSP00000362308	SH3BGRL	{'SH3BGRL'}	{'ENSG00000131171'}	{'Q9H0N8', 'Q6FIE8', 'Q3SYL1', 'O75368', 'Q5JT50'}
9606.ENSP00000362314	EIF4EBP2	{'EIF4EBP2'}	{'ENSG00000148730'}	{'Q13542'}
9606.ENSP00000362328	KCNK17	{'KCNK17'}	{'ENSG00000124780'}	{'E9PB46', 'Q9BXD1', 'Q5TCF4', 'Q96T54', 'Q9H592', 'Q8TAW4'}
9606.ENSP00000362329	PPA1	{'PPA1'}	{'ENSG00000180817'}	{'Q6P7P4', 'Q2M348', 'Q5SQT7', 'Q15181', 'Q9Y5B1', 'Q9UQJ5'}
9606.ENSP00000362330	CHD6	{'CHD6'}	{'ENSG00000124177'}	{'Q9H4H6', 'Q8TD26', 'Q9P2L1', 'Q5TGZ9', 'Q8WTY0', 'Q9H6D4', 'Q9NTT7', 'Q8IZR2', 'Q5TH01', 'Q5TH00', 'Q5JYQ0'}
9606.ENSP00000362332	TFAP2E	{'TFAP2E'}	{'ENSG00000116819'}	{'Q8IW12', 'Q6VUC0'}
9606.ENSP00000362334	PSMB2	{'PSMB2'}	{'ENSG00000126067'}	{'P31145', 'P49721', 'D3DPS0', 'Q9BWZ9'}
9606.ENSP00000362339	SAR1A	{'SAR1A'}	{'ENSG00000079332'}	{'B4DQ19', 'Q9NR31'}
9606.ENSP00000362340	NCDN	{'NCDN'}	{'ENSG00000020129'}	{'Q9UBB6', 'D3DPR9', 'Q9Y4A6', 'Q9UBY2', 'Q9Y4D9'}
9606.ENSP00000362344	FPGS	{'FPGS'}	{'ENSG00000136877'}	{'Q6P2P6', 'Q5JU22', 'B7Z2Z3', 'B3KPW4', 'Q05932', 'F5H0K6', 'Q5JU19'}
9606.ENSP00000362352	H2AFY2	{'H2AFY2'}	{'ENSG00000099284'}	{'Q9P0M6', 'Q5SQT2'}
9606.ENSP00000362353	GLP1R	{'GLP1R'}	{'ENSG00000112164'}	{'Q2M229', 'P43220', 'Q99669'}
9606.ENSP00000362354	LPIN3	{'LPIN3'}	{'ENSG00000132793'}	{'Q5TDB9', 'B2RTT5', 'Q9UJE5', 'Q9NPY8', 'Q9BQK8'}
9606.ENSP00000362361	CDK9	{'CDK9'}	{'ENSG00000136807'}	{'Q96TF1', 'Q5JU25', 'P50750', 'Q5U006', 'Q5JU24'}
9606.ENSP00000362372	BRWD3	{'BRWD3'}	{'ENSG00000165288'}	{'Q6RI44', 'Q6RI37', 'Q5JRN1', 'C9J3F3', 'C9IZ39', 'Q8N916', 'Q6RI45', 'Q2T9J6', 'Q6RI42'}
9606.ENSP00000362376	C10orf35	{'C10orf35'}	{'ENSG00000171224'}	{'Q96D05'}
9606.ENSP00000362381	TOR2A	{'TOR2A'}	{'ENSG00000160404'}	{'Q96SL7', 'Q3ZCP0', 'A4FU13', 'A4FU12', 'Q3ZCN9', 'Q5JU68', 'Q5JU69', 'Q6UXW6', 'Q8NAN5', 'Q66K87'}
9606.ENSP00000362386	TTC16	{'TTC16'}	{'ENSG00000167094'}	{'Q8NEE8', 'B5ME24', 'B4DYG4', 'Q96M72', 'Q5JU66'}
9606.ENSP00000362387	TSPAN15	{'TSPAN15'}	{'ENSG00000099282'}	{'Q6UW79', 'O95858'}
9606.ENSP00000362390	TBX22	{'TBX22'}	{'ENSG00000122145'}	{'Q5JZ06', 'Q9Y458', 'Q96LC0', 'Q9HBF1'}
9606.ENSP00000362392	C9orf117	{'C9orf117'}	{'ENSG00000160401'}	{'A5D8T9', 'Q5JU67'}
9606.ENSP00000362395	ITM2A	{'ITM2A'}	{'ENSG00000078596'}	{'O43736', 'B4E062', 'B2R7X5', 'Q6IBC9'}
9606.ENSP00000362399	STXBP1	{'STXBP1'}	{'ENSG00000136854'}	{'P61764', 'Q64320', 'Q28208', 'Q62759', 'Q96TG8', 'B1AM97'}
9606.ENSP00000362403	TACR2	{'TACR2'}	{'ENSG00000075073'}	{'Q4QRI5', 'Q9UDE6', 'Q8NGQ8', 'Q9UDE7', 'P21452', 'A8K7I1'}
9606.ENSP00000362409	FAM129B	{'FAM129B'}	{'ENSG00000136830'}	{'Q5VVW6', 'Q9NT35', 'Q9BUS2', 'Q5VVW7', 'Q4LE55', 'Q96TA1'}
9606.ENSP00000362410	MAFB	{'MAFB'}	{'ENSG00000204103'}	{'Q9Y5Q3', 'Q9H1F1', 'B3KNE1'}
9606.ENSP00000362413	PGK1	{'PGK1'}	{'ENSG00000102144'}	{'A8K4W6', 'Q6IBT6', 'P00558', 'B7Z7A9', 'Q8NI87', 'Q5J7W1'}
9606.ENSP00000362424	TRAF3IP1	{'TRAF3IP1'}	{'ENSG00000204104'}	{'Q9Y4Q1', 'Q7L8N9', 'Q8TDR0', 'Q6PCT1', 'Q9NRD6'}
9606.ENSP00000362435	ZMYM6NB	{'ZMYM6NB'}	{'ENSG00000243749'}	{'Q8NCS4'}
9606.ENSP00000362441	ATRX	{'ATRX'}	{'ENSG00000085224'}	{'Q15886', 'Q9NTS3', 'Q5JWI4', 'P51068', 'Q5H9A2', 'Q59FB5', 'Q7Z2J1', 'D3DTE2', 'Q9H0Z1', 'P46100', 'Q59H31'}
9606.ENSP00000362442	ARHGAP40	{'ARHGAP40'}	{'ENSG00000124143'}	{'Q5TG30'}
9606.ENSP00000362444	DLGAP3	{'DLGAP3'}	{'ENSG00000116544'}	{'Q5TDD5', 'Q9H3X7', 'O95886'}
9606.ENSP00000362446	ZNF79	{'ZNF79'}	{'ENSG00000196152'}	{'Q5VVW1', 'Q15937', 'Q96NV1'}
9606.ENSP00000362456	PBDC1	{'PBDC1'}	{'ENSG00000102390'}	{'Q9BVG4'}
9606.ENSP00000362457	MAGEE2	{'MAGEE2'}	{'ENSG00000186675'}	{'Q5JSI5', 'Q8TD90'}
9606.ENSP00000362463	GLO1	{'GLO1'}	{'ENSG00000124767'}	{'B4DDV0', 'B2R6P7', 'Q5TZW3', 'Q59EL0', 'P78375', 'Q04760', 'Q96FC0', 'Q96J41'}
9606.ENSP00000362464	GJB3	{'GJB3'}	{'ENSG00000188910'}	{'Q2TAZ8', 'O75712', 'B2R790'}
9606.ENSP00000362465	ZDHHC15	{'ZDHHC15'}	{'ENSG00000102383'}	{'Q3SY30', 'Q96MV8', 'B3KVG7', 'Q6UWH3'}
9606.ENSP00000362469	SLC2A8	{'SLC2A8'}	{'ENSG00000136856'}	{'Q8WUZ9', 'Q9NSC4', 'Q9NY64'}
9606.ENSP00000362479	CSMD2	{'CSMD2'}	{'ENSG00000121904'}	
